ElectoralDistrictName,NDP,BQ,Conservative,Liberal,Green,PPC
Avalon,13.9,0,34.3,50.1,0,1.7
Bonavista--Burin--Trinity,8.3,0,40.9,46.6,0,4.2
Coast of Bays--Central--Notre Dame,7.1,0,46.9,46,0,0
Labrador,23.8,0,30.4,42.7,0,3.2
Long Range Mountains,11.9,0,39.4,44.4,0,4.3
St. John's East/St. John's-Est,34.3,0,18.7,45.2,0,1.9
St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,23.4,0,18.6,56.2,0,1.8
Cardigan,9.8,0,30.9,50.6,4.8,3.3
Charlottetown,10.7,0,31.1,46.7,9.6,1.9
Egmont,8.6,0,31.1,46.2,9.1,5
Malpeque,8,0,33.1,41.8,14.3,2.9
Cape Breton--Canso,14.3,0,35.1,46.5,0,4.2
Central Nova/Nova-Centre,15.4,0,32.3,46.2,1.2,3.6
Cumberland--Colchester,12.3,0,46,34.2,2.6,4.2
Dartmouth--Cole Harbour,33.5,0,0,53.1,3,10.5
Halifax,39.7,0,12.9,42.7,2.2,2.1
Halifax West/Halifax-Ouest,24.2,0,22,48.5,2.3,2.8
Kings--Hants,19.2,0,29.4,44.9,2.1,4.3
Sackville--Preston--Chezzetcook,26.3,0,26.4,41.3,2,3.9
South Shore--St. Margarets,19.1,0,40.9,37.1,2.9,0
Sydney--Victoria,19.9,0,36.3,39.2,1,3.2
West Nova/Nova-Ouest,12.9,0,50.4,31.3,0,5.4
Acadie--Bathurst,11.4,0,13.8,64.8,2.8,5.9
Beauséjour,11,0,19.4,55.6,5.7,7.6
Fredericton,12.6,0,35.9,37,12.9,0
Fundy Royal,14,0,48.4,25,4.9,7.8
Madawaska--Restigouche,6,0,25.8,55.2,2.6,6.2
Miramichi--Grand Lake,7,0,43.7,39.3,4.3,5.7
Moncton--Riverview--Dieppe,17,0,23.4,49.1,4.2,6.3
New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13.4,0,50,23.9,4.3,8.4
Saint John--Rothesay,12.9,0,32.9,46.4,2.5,5.3
Tobique--Mactaquac,10.6,0,51,23.9,4.8,8.5
Abitibi--Baie-James--Nunavik--Eeyou,11.7,37.9,15.9,26,1.6,3.8
Abitibi--Témiscamingue,6.1,50.6,11.7,24.1,1.6,3.4
Ahuntsic-Cartierville,11.6,22,8.4,52.4,3,2.6
Alfred-Pellan,7.7,26.1,13.6,47.8,1.8,0
Argenteuil--La Petite-Nation,6.7,35.3,12.9,38.3,0,5.5
Avignon--La Mitis--Matane--Matapédia,4.5,59.8,8.8,21.5,0,2.9
Beauce,2.9,15.2,48.3,12.3,0.9,18.2
Beauport--Limoilou,10.4,31.1,29.1,25.4,2.1,0
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,4.5,38.4,31.9,20.7,1.5,1.8
Bécancour--Nicolet--Saurel,5.1,54.8,16.8,16.9,1.5,2.4
Bellechasse--Les Etchemins--Lévis,5,23.2,51,15.9,1.5,0
Beloeil--Chambly,8.5,53.1,8.7,23.7,2,2
Berthier--Maskinongé,33.5,35.2,10.9,15.3,1,2.7
Bourassa,8,18.7,7,60.4,1.8,3.7
Brome--Missisquoi,6.2,34.6,16.2,35,2.4,3.2
Brossard--Saint-Lambert,10.4,19.9,12,54.1,0,2.5
Charlesbourg--Haute-Saint-Charles,6,24.8,44.7,19.7,1.7,2.3
Châteauguay--Lacolle,7.7,37,11.4,37,1.6,3.7
Chicoutimi--Le Fjord,4.6,33.4,41,18.3,1.1,1.5
Compton--Stanstead,7.4,30.6,17.5,36.7,2.8,3.7
Dorval--Lachine--LaSalle,13,15.7,12,52.4,2.8,4.2
Drummond,11.2,46.6,17.9,18.8,0,0
Gaspésie--Les Îles-de-la-Madeleine,3.7,39.3,8.2,46.4,0,1.7
Gatineau,8.6,23.4,11,50,1.5,4.3
Hochelaga,20.4,31.6,4.7,38.1,2,2.3
Honoré-Mercier,7.3,16.3,10.5,60,1.5,4.2
Hull--Aylmer,12.7,16.2,10.7,52.5,2.8,3.6
Joliette,5.5,55,9.5,22.7,2,3.2
Jonquière,5.6,41.9,29.1,21,1.6,0
La Pointe-de-l'Île,9.7,46.7,6.7,32.3,0,2.7
La Prairie,7.3,43.7,9.9,34.6,1.7,2.6
Lac-Saint-Jean,3.3,50.7,25.7,18.7,1.6,0
Lac-Saint-Louis,13.3,5.3,18.9,56.3,3.2,3
LaSalle--Émard--Verdun,19.4,22.1,7.5,42.9,3,3.4
